地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
阿巴嘎旗,152522.0,阿巴嘎旗,152522.0,旗,锡林郭勒盟,152500.0,盟,内蒙古自治区,150000.0,自治区,,,Abaga,,152522.0,Abaga,,152522.0,,Xilinguole,,152500.0,,Neimenggu,,150000.0,,2015.0,0
阿坝县,513231.0,阿坝县,513231.0,县,阿坝藏族羌族自治州,513200.0,自治州,四川省,510000.0,省,,,Aba,,513231.0,Aba,,513231.0,,Abazangzuqiangzu,,513200.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
阿城区,230112.0,阿城区,230112.0,市辖区,哈尔滨市,230100.0,地级市,黑龙江省,230000.0,省,,,Acheng,,230112.0,Acheng,,230112.0,,Haerbin,,230100.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,108
阿尔山市,152202.0,阿尔山市,152202.0,县级市,兴安盟,152200.0,盟,内蒙古自治区,150000.0,自治区,,,Aershan,,152202.0,Aershan,,152202.0,,Xingan,,152200.0,,Neimenggu,,150000.0,,2015.0,0
阿合奇县,653023.0,阿合奇县,653023.0,县,克孜勒苏柯尔克孜自治州,653000.0,自治州,新疆维吾尔自治区,650000.0,自治区,,,Aheqi,,653023.0,Aheqi,,653023.0,,Kezilesukeerkezi,,653000.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿克苏市,652901.0,阿克苏市,652901.0,县级市,阿克苏地区,652900.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Akesu,,652901.0,Akesu,,652901.0,,Akesu,,652900.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿克陶县,653022.0,阿克陶县,653022.0,县,克孜勒苏柯尔克孜自治州,653000.0,自治州,新疆维吾尔自治区,650000.0,自治区,,,Aketao,,653022.0,Aketao,,653022.0,,Kezilesukeerkezi,,653000.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿拉尔市,659002.0,阿拉尔市,659002.0,县级市,不统计,0.0,不统计,新疆维吾尔自治区,650000.0,自治区,,"省直辖市,省直管,是县级单位",Alaer,,659002.0,Alaer,,659002.0,,NULL,NULL,0.0,NULL,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿拉山口市,652702.0,阿拉山口市,652702.0,县级市,博尔塔拉蒙古自治州,652700.0,自治州,新疆维吾尔自治区,650000.0,自治区,,,Alashankou,,652702.0,Alashankou,,652702.0,,Boertalamenggu,,652700.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿拉善右旗,152922.0,阿拉善右旗,152922.0,旗,阿拉善盟,152900.0,盟,内蒙古自治区,150000.0,自治区,,,Alashanyou,,152922.0,Alashanyou,,152922.0,,Alashan,,152900.0,,Neimenggu,,150000.0,,2015.0,0
阿拉善左旗,152921.0,阿拉善左旗,152921.0,旗,阿拉善盟,152900.0,盟,内蒙古自治区,150000.0,自治区,,,Alashanzuo,,152921.0,Alashanzuo,,152921.0,,Alashan,,152900.0,,Neimenggu,,150000.0,,2015.0,0
阿勒泰市,654301.0,阿勒泰市,654301.0,县级市,阿勒泰地区,654300.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Aletai,,654301.0,Aletai,,654301.0,,Aletai,,654300.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿鲁科尔沁旗,150421.0,阿鲁科尔沁旗,150421.0,旗,赤峰市,150400.0,地级市,内蒙古自治区,150000.0,自治区,,,Alukeerqin,,150421.0,Alukeerqin,,150421.0,,Chifeng,Chì Fēng,150400.0,,Neimenggu,,150000.0,,2015.0,0
阿荣旗,150721.0,阿荣旗,150721.0,旗,呼伦贝尔市,150700.0,地级市,内蒙古自治区,150000.0,自治区,,,Arong,,150721.0,Arong,,150721.0,,Hulunbeier,,150700.0,,Neimenggu,,150000.0,,2015.0,0
阿图什市,653001.0,阿图什市,653001.0,县级市,克孜勒苏柯尔克孜自治州,653000.0,自治州,新疆维吾尔自治区,650000.0,自治区,,,Atushi,,653001.0,Atushi,,653001.0,,Kezilesukeerkezi,,653000.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
阿瓦提县,652928.0,阿瓦提县,652928.0,县,阿克苏地区,652900.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Awati,,652928.0,Awati,,652928.0,,Akesu,,652900.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
爱辉区,231102.0,爱辉区,231102.0,市辖区,黑河市,231100.0,地级市,黑龙江省,230000.0,省,,,Aihui,,231102.0,Aihui,,231102.0,,Heihe,Hēi Hé,231100.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,20
爱民区,231004.0,爱民区,231004.0,市辖区,牡丹江市,231000.0,地级市,黑龙江省,230000.0,省,,,Aimin,,231004.0,Aimin,,231004.0,,Mudanjiang,Mǔ Dān Jiāng,231000.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,0
安次区,131002.0,安次区,131002.0,市辖区,廊坊市,131000.0,地级市,河北省,130000.0,省,,,Anci,,131002.0,Anci,,131002.0,,Langfang,,131000.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
安达市,231281.0,安达市,231281.0,县级市,绥化市,231200.0,地级市,黑龙江省,230000.0,省,,,Anda,,231281.0,Anda,,231281.0,,Suihua,,231200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,444
安定区,621102.0,安定区,621102.0,市辖区,定西市,621100.0,地级市,甘肃省,620000.0,省,,,Anding,,621102.0,Anding,,621102.0,,Dingxi,Dìng Xī,621100.0,,Gansu,Gān Sù,620000.0,Province,2015.0,0
安多县,540624.0,安多县,540624.0,县,那曲地区,542400.0,地区,西藏自治区,540000.0,自治区,,,Anduo,,540624.0,Anduo,,540624.0,,Naqu,,542400.0,Prefecture,Xizang,,540000.0,,2015.0,0
安福县,360829.0,安福县,360829.0,县,吉安市,360800.0,地级市,江西省,360000.0,省,,,Anfu,,360829.0,Anfu,,360829.0,,Jian,,360800.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
安国市,130683.0,安国市,130683.0,县级市,保定市,130600.0,地级市,河北省,130000.0,省,,,Anguo,,130683.0,Anguo,,130683.0,,Baoding,Bǎo Dìng,130600.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
安化县,430923.0,安化县,430923.0,县,益阳市,430900.0,地级市,湖南省,430000.0,省,,,Anhua,,430923.0,Anhua,,430923.0,,Yiyang,Yì Yáng,430900.0,,Hunan,,430000.0,Province,2015.0,0
安吉县,330523.0,安吉县,330523.0,县,湖州市,330500.0,地级市,浙江省,330000.0,省,,,Anji,,330523.0,Anji,,330523.0,,Huzhou,Hú Zhōu,330500.0,,Zhejiang,Zhè Jiāng,330000.0,Province,2015.0,0
安居区,510904.0,安居区,510904.0,市辖区,遂宁市,510900.0,地级市,四川省,510000.0,省,,,Anju,,510904.0,Anju,,510904.0,,Suining,,510900.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
安龙县,522328.0,安龙县,522328.0,县,黔西南布依族苗族自治州,522300.0,自治州,贵州省,520000.0,省,,,Anlong,,522328.0,Anlong,,522328.0,,Qianxinanbuyizumiaozu,,522300.0,,Guizhou,Guì Zhōu,520000.0,Province,2015.0,0
安陆市,420982.0,安陆市,420982.0,县级市,孝感市,420900.0,地级市,湖北省,420000.0,省,,,Anlu,,420982.0,Anlu,,420982.0,,Xiaogan,Xiào Gǎn,420900.0,,Hubei,Hú Běi,420000.0,Province,2015.0,0
安宁区,620105.0,安宁区,620105.0,市辖区,兰州市,620100.0,地级市,甘肃省,620000.0,省,,,Anning,,620105.0,Anning,,620105.0,,Lanzhou,Lán Zhōu,620100.0,,Gansu,Gān Sù,620000.0,Province,2015.0,0
安宁市,530181.0,安宁市,530181.0,县级市,昆明市,530100.0,地级市,云南省,530000.0,省,,,Anning,,530181.0,Anning,,530181.0,,Kunming,Kūn Míng,530100.0,,Yunnan,,530000.0,Province,2015.0,0
安平县,131125.0,安平县,131125.0,县,衡水市,131100.0,地级市,河北省,130000.0,省,,,Anping,,131125.0,Anping,,131125.0,,Hengshui,Héng Shuǐ,131100.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
安丘市,370784.0,安丘市,370784.0,县级市,潍坊市,370700.0,地级市,山东省,370000.0,省,,,Anqiu,,370784.0,Anqiu,,370784.0,,Weifang,,370700.0,,Shandong,Shān Dōng,370000.0,Province,2015.0,0
安仁县,431028.0,安仁县,431028.0,县,郴州市,431000.0,地级市,湖南省,430000.0,省,,,Anren,,431028.0,Anren,,431028.0,,Chenzhou,Chēn Zhōu,431000.0,,Hunan,,430000.0,Province,2015.0,0
安塞县,610624.0,安塞县,610624.0,县,延安市,610600.0,地级市,陕西省,610000.0,省,,,Ansai,,610624.0,Ansai,,610624.0,,Yanan,,610600.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
安图县,222426.0,安图县,222426.0,县,延边朝鲜族自治州,222400.0,自治州,吉林省,220000.0,省,,,Antu,,222426.0,Antu,,222426.0,,Yanbianchaoxianzu,,222400.0,,Jilin,Jí Lín,220000.0,Province,2015.0,0
安溪县,350524.0,安溪县,350524.0,县,泉州市,350500.0,地级市,福建省,350000.0,省,,,Anxi,,350524.0,Anxi,,350524.0,,Quanzhou,Quán Zhōu,350500.0,,Fujian,Fú Jiàn,350000.0,Province,2015.0,0
安乡县,430721.0,安乡县,430721.0,县,常德市,430700.0,地级市,湖南省,430000.0,省,,,Anxiang,,430721.0,Anxiang,,430721.0,,Changde,Cháng Dé,430700.0,,Hunan,,430000.0,Province,2015.0,0
安新县,130632.0,安新县,130632.0,县,保定市,130600.0,地级市,河北省,130000.0,省,,,Anxin,,130632.0,Anxin,,130632.0,,Baoding,Bǎo Dìng,130600.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
安阳县,410522.0,安阳县,410522.0,县,安阳市,410500.0,地级市,河南省,410000.0,省,,,Anyang,,410522.0,Anyang,,410522.0,,Anyang,,410500.0,,Henan,,410000.0,Province,2015.0,0
安义县,360123.0,安义县,360123.0,县,南昌市,360100.0,地级市,江西省,360000.0,省,,,Anyi,,360123.0,Anyi,,360123.0,,Nanchang,,360100.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
安源区,360302.0,安源区,360302.0,市辖区,萍乡市,360300.0,地级市,江西省,360000.0,省,,,Anyuan,,360302.0,Anyuan,,360302.0,,Pingxiang,Píng Xiāng,360300.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
安远县,360726.0,安远县,360726.0,县,赣州市,360700.0,地级市,江西省,360000.0,省,,,Anyuan,,360726.0,Anyuan,,360726.0,,Ganzhou,Gàn Zhōu,360700.0,,Jiangxi,Jiāng Xī,360000.0,Province,2015.0,0
安岳县,512021.0,安岳县,512021.0,县,资阳市,512000.0,地级市,四川省,510000.0,省,,,Anyue,,512021.0,Anyue,,512021.0,,Ziyang,Zī Yáng,512000.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
安泽县,141026.0,安泽县,141026.0,县,临汾市,141000.0,地级市,山西省,140000.0,省,,,Anze,,141026.0,Anze,,141026.0,,Linfen,Lín Fén,141000.0,,Shanxi,Shān Xī,140000.0,Province,2015.0,0
安县,510724.0,安县,510724.0,县,绵阳市,510700.0,地级市,四川省,510000.0,省,,,Anxian,,510705.0,Anxian,,510724.0,,Mianyang,Mián Yáng,510700.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
昂昂溪区,230205.0,昂昂溪区,230205.0,市辖区,齐齐哈尔市,230200.0,地级市,黑龙江省,230000.0,省,,,Angangxi,,230205.0,Angangxi,,230205.0,,Qiqihaer,,230200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,9
敖汉旗,150430.0,敖汉旗,150430.0,旗,赤峰市,150400.0,地级市,内蒙古自治区,150000.0,自治区,,,Aohan,,150430.0,Aohan,,150430.0,,Chifeng,Chì Fēng,150400.0,,Neimenggu,,150000.0,,2015.0,0
澳门特别行政区,820000.0,不统计,0.0,不统计,不统计,0.0,不统计,澳门特别行政区,820000.0,特别行政区,,,Macao,Macao,820000.0,NULL,NULL,0.0,NULL,Macao,Macao,0.0,NULL,Aomen,,820000.0,,2015.0,0
八步区,451102.0,八步区,451102.0,市辖区,贺州市,451100.0,地级市,广西壮族自治区,450000.0,自治区,,,Babu,Bā Bù,451102.0,Babu,BāBù,451102.0,,Hezhou,Hè Zhōu,451100.0,,Guangxi,,450000.0,,2015.0,0
八公山区,340405.0,八公山区,340405.0,市辖区,淮南市,340400.0,地级市,安徽省,340000.0,省,,,Bagongshan,Bā Gōng Shān,340405.0,Bagongshan,BāGōngShān,340405.0,,Huainan,,340400.0,,Anhui,,340000.0,Province,2015.0,0
八宿县,540326.0,八宿县,540326.0,县,昌都市,540300.0,地级市,西藏自治区,540000.0,自治区,,,Basu,,540326.0,Basu,,540326.0,,Changdu,,540300.0,,Xizang,,540000.0,,2015.0,0
巴楚县,653130.0,巴楚县,653130.0,县,喀什地区,653100.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Bachu,Bā Chǔ,653130.0,Bachu,BāChǔ,653130.0,,Kashi,,653100.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
巴东县,422823.0,巴东县,422823.0,县,恩施土家族苗族自治州,422800.0,自治州,湖北省,420000.0,省,,,Badong,Bā Dōng,422823.0,Badong,BāDōng,422823.0,,Enshitujiazumiaozu,,422800.0,,Hubei,Hú Běi,420000.0,Province,2015.0,0
巴里坤哈萨克自治县,650521.0,巴里坤哈萨克自治县,650521.0,自治县,哈密地区,652200.0,地级市,新疆维吾尔自治区,650000.0,自治区,,,Balikunhasake,,650521.0,Balikunhasake,,650521.0,,Hami,,652200.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
巴林右旗,150423.0,巴林右旗,150423.0,旗,赤峰市,150400.0,地级市,内蒙古自治区,150000.0,自治区,,,Balinyou,Bā Lín Yòu,150423.0,Balinyou,BāLínYòu,150423.0,,Chifeng,Chì Fēng,150400.0,,Neimenggu,,150000.0,,2015.0,0
巴林左旗,150422.0,巴林左旗,150422.0,旗,赤峰市,150400.0,地级市,内蒙古自治区,150000.0,自治区,,,Balinzuo,Bā Lín Zuǒ,150422.0,Balinzuo,BāLínZuǒ,150422.0,,Chifeng,Chì Fēng,150400.0,,Neimenggu,,150000.0,,2015.0,0
巴马瑶族自治县,451227.0,巴马瑶族自治县,451227.0,自治县,河池市,451200.0,地级市,广西壮族自治区,450000.0,自治区,,,Bamayaozu,Bā Mǎ Yáo Zú,451227.0,Bamayaozu,BāMǎYáoZú,451227.0,,Hechi,Hé Chí,451200.0,,Guangxi,,450000.0,,2015.0,0
巴南区,500113.0,巴南区,500113.0,市辖区,不统计,0.0,不统计,重庆市,500000.0,直辖市,,,Banan,,500113.0,Banan,,500113.0,,NULL,NULL,0.0,NULL,Chongqing,,500000.0,,2015.0,0
巴青县,540628.0,巴青县,540628.0,县,那曲地区,542400.0,地区,西藏自治区,540000.0,自治区,,,Baqing,Bā Qīng,540628.0,Baqing,BāQīng,540628.0,,Naqu,,542400.0,Prefecture,Xizang,,540000.0,,2015.0,0
巴塘县,513335.0,巴塘县,513335.0,县,甘孜藏族自治州,513300.0,自治州,四川省,510000.0,省,,,Batang,Bā Táng,513335.0,Batang,BāTáng,513335.0,,Ganzizangzu,,513300.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
巴彦县,230126.0,巴彦县,230126.0,县,哈尔滨市,230100.0,地级市,黑龙江省,230000.0,省,,,Bayan,Bā Yàn,230126.0,Bayan,BāYàn,230126.0,,Haerbin,,230100.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,540
巴宜区,540402.0,巴宜区,540402.0,市辖区,林芝市,540400.0,地级市,西藏自治区,540000.0,自治区,林芝县,2015年撤销林芝县，设立巴宜区,Bayi,Bā Yí,540402.0,Bayi,BāYí,540402.0,,Linzhi,Lín Zhī,540400.0,,Xizang,,540000.0,,2015.0,0
巴州区,511902.0,巴州区,511902.0,市辖区,巴中市,511900.0,地级市,四川省,510000.0,省,,,Bazhou,Bā Zhōu,511902.0,Bazhou,BāZhōu,511902.0,,Bazhong,,511900.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
鲅鱼圈区,210804.0,鲅鱼圈区,210804.0,市辖区,营口市,210800.0,地级市,辽宁省,210000.0,省,,,Bayuquan,,210804.0,Bayuquan,,210804.0,,Yingkou,Yíng Kǒu,210800.0,,Liaoning,,210000.0,Province,2015.0,0
霸州市,131081.0,霸州市,131081.0,县级市,廊坊市,131000.0,地级市,河北省,130000.0,省,,,Bazhou,Bà Zhōu,131081.0,Bazhou,BàZhōu,131081.0,,Langfang,,131000.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
灞桥区,610111.0,灞桥区,610111.0,市辖区,西安市,610100.0,地级市,陕西省,610000.0,省,,,Baqiao,Bà Qiáo,610111.0,Baqiao,BàQiáo,610111.0,,Xian,,610100.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
白河县,610929.0,白河县,610929.0,县,安康市,610900.0,地级市,陕西省,610000.0,省,,,Baihe,Bái Hé,610929.0,Baihe,BáiHé,610929.0,,Ankang,,610900.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
白碱滩区,650204.0,白碱滩区,650204.0,市辖区,克拉玛依市,650200.0,地级市,新疆维吾尔自治区,650000.0,自治区,,,Baijiantan,Bái Jiǎn Tān,650204.0,Baijiantan,BáiJiǎnTān,650204.0,,Kelamayi,,650200.0,,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
白朗县,540228.0,白朗县,540228.0,县,日喀则市,540200.0,地级市,西藏自治区,540000.0,自治区,,,Bailang,Bái Lǎng,540228.0,Bailang,BáiLǎng,540228.0,,Rikaze,Rì Kā Zé,540200.0,,Xizang,,540000.0,,2015.0,0
白沙黎族自治县,469025.0,白沙黎族自治县,469025.0,自治县,不统计,0.0,不统计,海南省,460000.0,省,,"省直辖县,省直管,是县级单位",Baishalizu,,469025.0,Baishalizu,,469025.0,,NULL,NULL,0.0,NULL,Hainan,,460000.0,Province,2015.0,0
白水县,610527.0,白水县,610527.0,县,渭南市,610500.0,地级市,陕西省,610000.0,省,,,Baishui,Bái Shuǐ,610527.0,Baishui,BáiShuǐ,610527.0,,Weinan,,610500.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
白塔区,211002.0,白塔区,211002.0,市辖区,辽阳市,211000.0,地级市,辽宁省,210000.0,省,,,Baita,Bái Tǎ,211002.0,Baita,BáiTǎ,211002.0,,Liaoyang,Liáo Yáng,211000.0,,Liaoning,,210000.0,Province,2015.0,0
白银区,620402.0,白银区,620402.0,市辖区,白银市,620400.0,地级市,甘肃省,620000.0,省,,,Baiyin,Bái Yín,620402.0,Baiyin,BáiYín,620402.0,,Baiyin,Bái Yín,620400.0,,Gansu,Gān Sù,620000.0,Province,2015.0,0
白玉县,513331.0,白玉县,513331.0,县,甘孜藏族自治州,513300.0,自治州,四川省,510000.0,省,,,Baiyu,Bái Yù,513331.0,Baiyu,BáiYù,513331.0,,Ganzizangzu,,513300.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
白云鄂博矿区,150206.0,白云鄂博矿区,150206.0,市辖区,包头市,150200.0,地级市,内蒙古自治区,150000.0,自治区,,,Baiyunebokuang,,150206.0,Baiyunebokuang,,150206.0,,Baotou,,150200.0,,Neimenggu,,150000.0,,2015.0,0
柏乡县,130524.0,柏乡县,130524.0,县,邢台市,130500.0,地级市,河北省,130000.0,省,,,Baixiang,,130524.0,Baixiang,,130524.0,,Xingtai,,130500.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
拜城县,652926.0,拜城县,652926.0,县,阿克苏地区,652900.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Baicheng,,652926.0,Baicheng,,652926.0,,Akesu,,652900.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
拜泉县,230231.0,拜泉县,230231.0,县,齐齐哈尔市,230200.0,地级市,黑龙江省,230000.0,省,,,Baiquan,,230231.0,Baiquan,,230231.0,,Qiqihaer,,230200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,105
班戈县,540627.0,班戈县,540627.0,县,那曲地区,542400.0,地区,西藏自治区,540000.0,自治区,,,Bange,Bān Gē,540627.0,Bange,BānGē,540627.0,,Naqu,,542400.0,Prefecture,Xizang,,540000.0,,2015.0,0
班玛县,632622.0,班玛县,632622.0,县,果洛藏族自治州,632600.0,自治州,青海省,630000.0,省,,,Banma,Bān Mǎ,632622.0,Banma,BānMǎ,632622.0,,Guoluozangzu,,632600.0,,Qinghai,Qīng Hǎi,630000.0,Province,2015.0,0
蚌山区,340303.0,蚌山区,340303.0,市辖区,蚌埠市,340300.0,地级市,安徽省,340000.0,省,,,Bengshan,,340303.0,Bengshan,,340303.0,,Bengbu,,340300.0,,Anhui,,340000.0,Province,2015.0,0
包河区,340111.0,包河区,340111.0,市辖区,合肥市,340100.0,地级市,安徽省,340000.0,省,,,Baohe,Bāo Hé,340111.0,Baohe,BāoHé,340111.0,,Hefei,,340100.0,,Anhui,,340000.0,Province,2015.0,0
宝安区,440306.0,宝安区,440306.0,市辖区,深圳市,440300.0,地级市,广东省,440000.0,省,,,Baoan,,440306.0,Baoan,,440306.0,,Shenzhen,Shēn Zhèn,440300.0,,Guangdong,,440000.0,Province,2015.0,0
宝坻区,120115.0,宝坻区,120115.0,市辖区,不统计,0.0,不统计,天津市,120000.0,直辖市,,,Baodi,,120115.0,Baodi,,120115.0,,NULL,NULL,0.0,NULL,Tianjin,Tiān Jīn,120000.0,,2015.0,0
宝丰县,410421.0,宝丰县,410421.0,县,平顶山市,410400.0,地级市,河南省,410000.0,省,,,Baofeng,Bǎo Fēng,410421.0,Baofeng,BǎoFēng,410421.0,,Pingdingshan,Píng Dǐng Shān,410400.0,,Henan,,410000.0,Province,2015.0,0
宝清县,230523.0,宝清县,230523.0,县,双鸭山市,230500.0,地级市,黑龙江省,230000.0,省,,,Baoqing,Bǎo Qīng,230523.0,Baoqing,BǎoQīng,230523.0,,Shuangyashan,Shuāng Yā Shān,230500.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,1152
宝塔区,610602.0,宝塔区,610602.0,市辖区,延安市,610600.0,地级市,陕西省,610000.0,省,,,Baota,Bǎo Tǎ,610602.0,Baota,BǎoTǎ,610602.0,,Yanan,,610600.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
宝兴县,511827.0,宝兴县,511827.0,县,雅安市,511800.0,地级市,四川省,510000.0,省,,,Baoxing,,511827.0,Baoxing,,511827.0,,Yaan,,511800.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
宝应县,321023.0,宝应县,321023.0,县,扬州市,321000.0,地级市,江苏省,320000.0,省,,,Baoying,,321023.0,Baoying,,321023.0,,Yangzhou,Yáng Zhōu,321000.0,,Jiangsu,Jiāng Sū,320000.0,Province,2015.0,0
保德县,140931.0,保德县,140931.0,县,忻州市,140900.0,地级市,山西省,140000.0,省,,,Baode,Bǎo Dé,140931.0,Baode,BǎoDé,140931.0,,Xinzhou,Xīn Zhōu,140900.0,,Shanxi,Shān Xī,140000.0,Province,2015.0,0
保靖县,433125.0,保靖县,433125.0,县,湘西土家族苗族自治州,433100.0,自治州,湖南省,430000.0,省,,,Baojing,Bǎo Jìng,433125.0,Baojing,BǎoJìng,433125.0,,Xiangxitujiazumiaozu,,433100.0,,Hunan,,430000.0,Province,2015.0,0
保康县,420626.0,保康县,420626.0,县,襄阳市,420600.0,地级市,湖北省,420000.0,省,,,Baokang,Bǎo Kāng,420626.0,Baokang,BǎoKāng,420626.0,,Xiangyang,Xiāng Yáng,420600.0,,Hubei,Hú Běi,420000.0,Province,2015.0,0
保亭黎族苗族自治县,469029.0,保亭黎族苗族自治县,469029.0,自治县,不统计,0.0,不统计,海南省,460000.0,省,,"省直辖县,省直管,是县级单位",Baotinglizumiaozu,Bǎo Tíng Lí Zú Miáo Zú,469029.0,Baotinglizumiaozu,BǎoTíngLíZúMiáoZú,469029.0,,NULL,NULL,0.0,NULL,Hainan,,460000.0,Province,2015.0,0
碑林区,610103.0,碑林区,610103.0,市辖区,西安市,610100.0,地级市,陕西省,610000.0,省,,,Beilin,Bēi Lín,610103.0,Beilin,BēiLín,610103.0,,Xian,,610100.0,,Shanxi,Shǎn Xī,610000.0,Province,2015.0,0
北安市,231181.0,北安市,231181.0,县级市,黑河市,231100.0,地级市,黑龙江省,230000.0,省,,,Beian,,231181.0,Beian,,231181.0,,Heihe,Hēi Hé,231100.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,275
北碚区,500109.0,北碚区,500109.0,市辖区,不统计,0.0,不统计,重庆市,500000.0,直辖市,,,Beibei,Běi Bèi,500109.0,Beibei,BěiBèi,500109.0,,NULL,NULL,0.0,NULL,Chongqing,,500000.0,,2015.0,0
北辰区,120113.0,北辰区,120113.0,市辖区,不统计,0.0,不统计,天津市,120000.0,直辖市,,,Beichen,Běi Chén,120113.0,Beichen,BěiChén,120113.0,,NULL,NULL,0.0,NULL,Tianjin,Tiān Jīn,120000.0,,2015.0,0
北川羌族自治县,510726.0,北川羌族自治县,510726.0,自治县,绵阳市,510700.0,地级市,四川省,510000.0,省,,,Beichuanqiangzu,Běi Chuān Qiāng Zú,510726.0,Beichuanqiangzu,BěiChuānQiāngZú,510726.0,,Mianyang,Mián Yáng,510700.0,,Sichuan,Sì Chuān,510000.0,Province,2015.0,0
北戴河区,130304.0,北戴河区,130304.0,市辖区,秦皇岛市,130300.0,地级市,河北省,130000.0,省,,,Beidaihe,Běi Dài Hé,130304.0,Beidaihe,BěiDàiHé,130304.0,,Qinhuangdao,Qín Huáng Dǎo,130300.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
北关区,410503.0,北关区,410503.0,市辖区,安阳市,410500.0,地级市,河南省,410000.0,省,,,Beiguan,Běi Guān,410503.0,Beiguan,BěiGuān,410503.0,,Anyang,,410500.0,,Henan,,410000.0,Province,2015.0,0
北湖区,431002.0,北湖区,431002.0,市辖区,郴州市,431000.0,地级市,湖南省,430000.0,省,,,Beihu,Běi Hú,431002.0,Beihu,BěiHú,431002.0,,Chenzhou,Chēn Zhōu,431000.0,,Hunan,,430000.0,Province,2015.0,0
北林区,231202.0,北林区,231202.0,市辖区,绥化市,231200.0,地级市,黑龙江省,230000.0,省,,,Beilin,Běi Lín,231202.0,Beilin,BěiLín,231202.0,,Suihua,,231200.0,,Heilongjiang,Hēi Lóng Jiāng,230000.0,Province,2015.0,275
北流市,450981.0,北流市,450981.0,县级市,玉林市,450900.0,地级市,广西壮族自治区,450000.0,自治区,,,Beiliu,Běi Liú,450981.0,Beiliu,BěiLiú,450981.0,,Yulin,Yù Lín,450900.0,,Guangxi,,450000.0,,2015.0,0
北仑区,330206.0,北仑区,330206.0,市辖区,宁波市,330200.0,地级市,浙江省,330000.0,省,,,Beilun,Běi Lún,330206.0,Beilun,BěiLún,330206.0,,Ningbo,,330200.0,,Zhejiang,Zhè Jiāng,330000.0,Province,2015.0,0
